province,max,min,wind,wind_d,rain,humidi,cloud,pressure,date
Bac Lieu,27,22,17,NNE,6.9,90,71,1010,2009-01-01
Bac Lieu,31,25,20,ENE,0.0,64,24,1010,2010-01-01
Bac Lieu,29,24,14,E,0.0,75,45,1008,2011-01-01
Bac Lieu,30,24,30,E,0.0,79,52,1012,2012-01-01
Bac Lieu,31,25,20,ENE,0.0,70,24,1010,2013-01-01
Bac Lieu,28,23,14,ENE,0.0,75,55,1012,2014-01-01
Bac Lieu,29,23,10,ENE,0.4,75,42,1012,2015-01-01
Bac Lieu,32,24,22,ENE,0.0,63,9,1015,2016-01-01
Bac Lieu,30,24,20,ENE,0.5,76,35,1011,2017-01-01
Bac Lieu,29,23,16,E,0.0,70,33,1010,2018-01-01
Bac Lieu,27,22,19,WSW,4.5,73,55,1012,2019-01-01
Bac Lieu,32,23,22,ENE,0.0,61,9,1014,2020-01-01
Bac Lieu,28,21,9,WSW,0.0,74,48,1011,2021-01-01
Bac Lieu,28,21,12,ENE,0.0,74,26,1014,2009-01-09
Bac Lieu,31,25,20,E,0.6,68,29,1011,2010-01-09
Bac Lieu,31,23,16,E,0.0,69,27,1009,2011-01-09
Bac Lieu,30,24,17,E,0.5,73,58,1011,2012-01-09
Bac Lieu,30,25,6,SSE,11.5,81,48,1009,2013-01-09
Bac Lieu,25,23,21,E,2.5,79,71,1011,2014-01-09
Bac Lieu,31,24,23,ENE,0.0,71,17,1012,2015-01-09
Bac Lieu,31,25,23,E,0.0,72,25,1013,2016-01-09
Bac Lieu,31,25,23,E,0.0,75,25,1008,2017-01-09
Bac Lieu,32,25,13,E,0.0,79,28,1011,2018-01-09
Bac Lieu,31,24,20,E,0.0,77,13,1013,2019-01-09
Bac Lieu,32,24,16,E,0.0,70,15,1010,2020-01-09
Bac Lieu,29,23,17,ENE,0.0,70,33,1010,2021-01-09
Bac Lieu,29,22,10,NE,1.2,81,40,1013,2009-01-08
Bac Lieu,32,25,19,E,0.0,64,15,1012,2010-01-08
Bac Lieu,30,23,18,ENE,0.0,72,31,1009,2011-01-08
Bac Lieu,29,23,14,ENE,0.0,76,56,1013,2012-01-08
Bac Lieu,31,24,10,E,1.4,79,50,1009,2013-01-08
Bac Lieu,31,24,16,ENE,0.0,69,52,1011,2014-01-08
Bac Lieu,31,24,26,E,0.0,74,12,1011,2015-01-08
Bac Lieu,32,25,22,E,0.2,72,35,1013,2016-01-08
Bac Lieu,31,25,26,E,0.0,76,34,1008,2017-01-08
Bac Lieu,30,25,13,E,0.1,81,38,1011,2018-01-08
Bac Lieu,30,25,22,E,0.4,78,28,1012,2019-01-08
Bac Lieu,33,25,20,E,0.1,66,25,1010,2020-01-08
Bac Lieu,29,24,18,ENE,0.0,74,31,1009,2021-01-08
Bac Lieu,29,22,10,SE,0.0,81,25,1010,2009-01-05
Bac Lieu,26,18,14,E,0.0,69,16,1014,2009-01-10
Bac Lieu,30,25,15,E,1.8,75,53,1011,2010-01-10
Bac Lieu,32,23,7,ESE,0.1,72,40,1008,2011-01-10
Bac Lieu,31,24,17,ENE,0.0,70,34,1011,2012-01-10
Bac Lieu,31,24,9,SW,11.9,82,38,1010,2013-01-10
Bac Lieu,27,23,21,ENE,0.0,76,60,1012,2014-01-10
Bac Lieu,32,24,19,E,0.0,71,19,1011,2015-01-10
Bac Lieu,32,25,19,E,0.0,73,16,1013,2016-01-10
Bac Lieu,31,25,21,E,0.0,72,13,1009,2017-01-10
Bac Lieu,31,25,17,ENE,3.5,74,39,1012,2018-01-10
Bac Lieu,30,25,21,E,0.2,77,22,1012,2019-01-10
Bac Lieu,32,25,17,E,0.0,68,28,1009,2020-01-10
Bac Lieu,28,22,13,ENE,0.0,72,38,1010,2021-01-10
Bac Lieu,32,26,20,E,0.7,70,19,1009,2010-01-05
Bac Lieu,30,24,25,ENE,0.1,76,52,1008,2011-01-05
Bac Lieu,31,23,16,E,0.0,76,10,1012,2012-01-05
Bac Lieu,30,22,8,WSW,0.5,68,30,1008,2013-01-05
Bac Lieu,30,23,17,E,0.8,78,48,1010,2014-01-05
Bac Lieu,32,24,14,ENE,3.9,74,48,1010,2015-01-05
Bac Lieu,32,25,16,E,0.2,72,49,1012,2016-01-05
Bac Lieu,30,25,25,E,0.0,74,13,1009,2017-01-05
Bac Lieu,31,25,12,ESE,0.5,79,52,1009,2018-01-05
Bac Lieu,30,25,22,E,0.3,82,55,1013,2019-01-05
Bac Lieu,30,24,15,E,0.0,69,9,1011,2020-01-05
Bac Lieu,25,23,9,ESE,5.6,89,86,1010,2021-01-05
Bac Lieu,30,23,10,E,0.3,81,25,1011,2009-01-06
Bac Lieu,31,25,21,E,1.6,71,16,1010,2010-01-06
Bac Lieu,31,24,25,ENE,0.0,73,32,1009,2011-01-06
Bac Lieu,31,23,12,ENE,0.9,77,14,1013,2012-01-06
Bac Lieu,25,21,13,NNW,24.7,88,92,1009,2013-01-06
Bac Lieu,30,23,18,E,0.1,75,29,1010,2014-01-06
Bac Lieu,30,25,18,ENE,2.0,78,42,1009,2015-01-06
Bac Lieu,32,25,17,E,0.0,74,30,1014,2016-01-06
Bac Lieu,30,25,27,E,0.3,76,45,1008,2017-01-06
Bac Lieu,31,25,14,ESE,0.1,82,49,1009,2018-01-06
Bac Lieu,30,25,23,E,0.0,79,31,1013,2019-01-06
Bac Lieu,32,24,13,ENE,0.0,68,26,1012,2020-01-06
Bac Lieu,29,24,18,ENE,0.0,81,49,1009,2021-01-06
Bac Lieu,29,24,12,ESE,1.9,83,30,1012,2009-01-07
Bac Lieu,31,25,23,E,0.0,67,7,1012,2010-01-07
Bac Lieu,30,24,24,ENE,0.0,71,36,1010,2011-01-07
Bac Lieu,30,24,18,E,0.1,76,47,1012,2012-01-07
Bac Lieu,28,23,15,E,2.2,87,71,1009,2013-01-07
Bac Lieu,30,23,13,ENE,0.0,71,39,1010,2014-01-07
Bac Lieu,31,24,22,E,0.0,77,50,1010,2015-01-07
Bac Lieu,32,25,21,E,0.0,73,29,1014,2016-01-07
Bac Lieu,31,25,26,E,0.0,76,41,1007,2017-01-07
Bac Lieu,31,25,13,ESE,0.1,79,43,1010,2018-01-07
Bac Lieu,30,25,23,E,0.0,77,15,1012,2019-01-07
Bac Lieu,32,24,20,E,0.0,70,22,1011,2020-01-07
Bac Lieu,30,24,18,ENE,0.0,73,33,1009,2021-01-07
Bac Lieu,23,21,9,ESE,16.7,91,77,1011,2009-01-03
Bac Lieu,30,26,22,E,0.2,70,56,1010,2010-01-03
Bac Lieu,32,23,13,ENE,0.2,75,30,1009,2011-01-03
Bac Lieu,29,24,22,E,0.0,75,22,1012,2012-01-03
Bac Lieu,32,25,19,ENE,0.0,74,26,1011,2013-01-03
Bac Lieu,31,23,10,ENE,0.0,75,18,1012,2014-01-03
Bac Lieu,30,22,8,SSE,1.2,72,38,1012,2015-01-03
Bac Lieu,33,26,15,E,1.3,70,39,1014,2016-01-03
Bac Lieu,31,25,25,ENE,0.0,70,48,1010,2017-01-03
Bac Lieu,32,24,11,ENE,0.0,75,23,1009,2018-01-03
Bac Lieu,27,23,30,ENE,27.7,88,87,1012,2019-01-03
Bac Lieu,31,25,24,ENE,0.0,63,10,1013,2020-01-03
Bac Lieu,28,23,10,SE,0.1,77,51,1010,2021-01-03
Bac Lieu,27,21,9,E,2.2,86,32,1011,2009-01-04
Bac Lieu,32,25,22,E,0.0,68,42,1009,2010-01-04
Bac Lieu,31,24,17,ENE,0.7,77,64,1009,2011-01-04
Bac Lieu,29,23,21,E,0.0,75,10,1012,2012-01-04
Bac Lieu,32,25,14,E,1.2,74,36,1009,2013-01-04
Bac Lieu,31,23,14,E,3.0,77,46,1011,2014-01-04
Bac Lieu,32,24,11,ENE,1.0,73,51,1010,2015-01-04
Bac Lieu,30,24,14,E,0.4,75,54,1011,2016-01-04
Bac Lieu,30,25,23,ENE,0.1,71,52,1009,2017-01-04
Bac Lieu,33,24,6,SSW,0.2,77,33,1008,2018-01-04
Bac Lieu,29,25,27,E,14.0,84,55,1013,2019-01-04
Bac Lieu,31,24,18,E,0.0,67,9,1012,2020-01-04
Bac Lieu,30,21,13,E,0.4,78,56,1009,2021-01-04
Bac Lieu,28,22,15,ENE,0.5,85,61,1010,2009-01-02
Bac Lieu,30,25,22,ENE,1.1,68,49,1010,2010-01-02
Bac Lieu,30,23,18,E,0.0,72,18,1009,2011-01-02
Bac Lieu,29,24,27,E,0.0,77,29,1012,2012-01-02
Bac Lieu,32,25,19,ENE,0.0,70,29,1010,2013-01-02
Bac Lieu,29,23,14,E,0.0,77,46,1012,2014-01-02
Bac Lieu,27,22,6,SE,0.4,79,68,1013,2015-01-02
Bac Lieu,33,24,16,ESE,0.2,66,38,1014,2016-01-02
Bac Lieu,31,24,25,ENE,0.3,74,20,1010,2017-01-02
Bac Lieu,30,23,14,ENE,0.0,71,12,1009,2018-01-02
Bac Lieu,23,22,25,NE,29.9,89,90,1011,2019-01-02
Bac Lieu,31,25,23,ENE,0.0,67,9,1014,2020-01-02
Bac Lieu,27,22,8,SSW,0.0,78,59,1010,2021-01-02
Bac Lieu,26,18,14,S,0.0,71,45,1014,2009-01-11
Bac Lieu,30,24,11,E,5.2,78,36,1012,2010-01-11
Bac Lieu,32,23,6,SW,0.0,72,17,1008,2011-01-11
Bac Lieu,31,24,15,NE,0.0,74,52,1011,2012-01-11
Bac Lieu,31,24,15,E,2.3,78,18,1010,2013-01-11
Bac Lieu,31,23,19,ENE,0.0,72,36,1013,2014-01-11
Bac Lieu,31,24,18,ENE,1.3,75,25,1011,2015-01-11
Bac Lieu,32,25,12,ESE,0.2,73,32,1013,2016-01-11
Bac Lieu,31,24,17,E,1.3,74,42,1009,2017-01-11
Bac Lieu,32,24,14,ENE,0.0,68,22,1012,2018-01-11
Bac Lieu,31,24,20,ENE,0.5,75,32,1012,2019-01-11
Bac Lieu,30,24,11,SE,0.2,76,36,1009,2020-01-11
Bac Lieu,30,23,11,NE,0.0,71,39,1010,2021-01-11
Bac Lieu,28,20,11,E,0.0,70,30,1015,2009-01-12
Bac Lieu,32,24,20,E,0.0,71,18,1013,2010-01-12
Bac Lieu,31,24,9,SSE,0.0,74,30,1008,2011-01-12
Bac Lieu,31,24,22,NE,0.7,74,53,1010,2012-01-12
Bac Lieu,32,25,10,E,0.2,73,17,1011,2013-01-12
Bac Lieu,31,24,16,E,0.9,75,40,1013,2014-01-12
Bac Lieu,31,24,15,ENE,0.7,75,20,1011,2015-01-12
Bac Lieu,33,25,16,E,0.3,74,19,1012,2016-01-12
